Node,Lower,Upper
30348_1#21,2017,2017
30134_6#225,2008,2008
30224_1#281,2015,2015
30859_5#297,2005,2005
30821_1#217,2007,2007
30859_5#193,2012,2012
30348_1#253,2009,2009
30602_2#327,2016,2016
30348_1#234,2017,2017
30134_6#306,2004,2004
30348_1#142,2017,2017
30348_2#314,2017,2017
30134_6#44,2011,2011
30348_1#39,2015,2015
30134_6#161,2004,2004
30602_2#217,2017,2017
30602_1#195,2014,2014
30224_1#188,2010,2010
31663_7#106,2015,2015
30345_1#13,2009,2009
30602_1#162,2013,2013
30348_1#13,2017,2017
30224_1#109,2009,2009
30859_5#329,2012,2012
30224_1#18,2016,2016
30348_1#296,2017,2017
30348_2#142,2013,2013
30602_1#6,2012,2012
30602_2#334,2004,2004
30224_1#235,2005,2005
30224_1#27,2004,2004
30345_1#105,2015,2015
30602_2#366,2003,2003
30602_1#355,2014,2014
30345_1#341,2010,2010
30345_1#98,2010,2010
30345_1#32,2004,2004
30134_6#173,2009,2009
30345_1#113,2011,2011
30859_5#311,2017,2017
30348_2#119,2017,2017
30602_1#280,2006,2006
30602_6#99,2004,2004
30348_2#379,2003,2003
30602_1#12,2013,2013
30821_1#132,2003,2003
30224_1#184,2008,2008
30348_1#8,2014,2014
30348_1#64,2013,2013
30859_5#202,2015,2015
30224_1#186,2009,2009
30134_6#250,2005,2005
30859_5#220,2007,2007
30134_6#111,2015,2015
30859_5#122,2007,2007
30348_1#11,2015,2015
30134_6#226,2013,2013
30348_2#308,2011,2011
30348_1#220,2009,2009
30602_2#46,2011,2011
30224_1#288,2009,2009
30602_1#349,2007,2007
30348_1#172,2003,2003
30348_1#119,2008,2008
30224_1#90,2008,2008
30859_5#366,2003,2003
30224_1#226,2007,2007
30224_1#126,2009,2009
30602_2#6,2009,2009
30224_1#129,2009,2009
30224_1#49,2007,2007
30224_1#81,2009,2009
30224_1#354,2012,2012
30134_6#92,2002,2002
30224_1#171,2005,2005
30602_2#261,2004,2004
30859_5#330,2014,2014
30859_5#16,2003,2003
30134_6#117,2014,2014
30348_2#297,2015,2015
30345_1#33,2008,2008
30134_6#166,2012,2012
30602_1#229,2014,2014
30602_1#378,2016,2016
30348_2#367,2016,2016
30224_1#32,2008,2008
30821_1#315,2010,2010
30602_2#371,2017,2017
30602_2#219,2017,2017
30348_1#373,2017,2017
30821_1#93,2017,2017
30602_1#242,2013,2013
30821_1#119,2006,2006
30821_1#328,2010,2010
30345_1#102,2006,2006
30859_5#178,2008,2008
30224_1#92,2003,2003
30348_1#327,2009,2009
30859_5#310,2007,2007
30348_2#207,2015,2015
30345_1#367,2002,2002
30602_2#185,2011,2011
30224_1#44,2003,2003
30345_1#41,2010,2010
30821_1#19,2015,2015
30859_5#372,2010,2010
30345_1#277,2004,2004
30602_1#316,2007,2007
30345_1#42,2017,2017
30859_5#353,2014,2014
30348_1#88,2017,2017
30602_1#128,2012,2012
30345_1#242,2011,2011
30134_6#271,2012,2012
30348_2#101,2012,2012
30821_1#120,2016,2016
31663_7#196,2015,2015
30348_2#120,2016,2016
30345_1#81,2016,2016
30134_6#197,2009,2009
30224_1#371,2014,2014
30859_5#232,2005,2005
30821_1#299,2015,2015
30821_1#333,2016,2016
30859_5#33,2012,2012
30602_1#252,2007,2007
30224_1#194,2007,2007
30345_1#374,2010,2010
30134_6#55,2010,2010
30224_1#70,2005,2005
30348_2#127,2016,2016
30348_2#139,2014,2014
30224_1#217,2003,2003
30348_1#192,2010,2010
31663_7#139,2016,2016
30602_2#211,2016,2016
30602_6#6,2006,2006
30134_6#129,2011,2011
30602_1#72,2006,2006
30345_1#19,2011,2011
30348_1#160,2010,2010
30224_1#242,2010,2010
30602_1#322,2017,2017
30134_6#160,2006,2006
30348_2#167,2014,2014
30345_1#383,2016,2016
30224_1#232,2011,2011
30602_2#212,2012,2012
30821_1#111,2004,2004
30134_6#224,2008,2008
30602_2#94,2013,2013
30859_5#75,2008,2008
30859_5#168,2014,2014
30859_5#43,2009,2009
30345_1#295,2006,2006
30134_6#348,2014,2014
30134_6#270,2011,2011
30348_2#121,2011,2011
30224_1#272,2007,2007
30602_1#373,2006,2006
30602_1#168,2013,2013
30345_1#357,2016,2016
30821_1#158,2013,2013
30348_2#171,2015,2015
30348_1#349,2009,2009
30224_1#236,2011,2011
30821_1#1,2012,2012
30345_1#37,2009,2009
30348_1#135,2010,2010
30859_5#195,2007,2007
